epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,116.118,1.35941,2.84578,1.22916,0.00351,0.8547,0.13338,0.05822,1.34425,3.845,1.15397,0.000650794,0.000650794,0.000650794
2,249.925,1.51287,2.20478,1.28604,0.35603,0.18903,0.17626,0.09619,1.53002,3.97616,1.29191,0.00128485,0.00128485,0.00128485
3,336.995,1.51451,2.0571,1.31904,0.05501,0.20513,0.04627,0.02181,1.57981,13.1052,1.55264,0.00188591,0.00188591,0.00188591
4,424.009,1.48061,1.76785,1.30607,0.57615,0.57265,0.58095,0.2983,1.55062,2.94554,1.46025,0.0018515,0.0018515,0.0018515
5,534.614,1.50254,1.6361,1.33388,0.77691,0.7265,0.77414,0.4059,1.46942,2.13128,1.32428,0.001802,0.001802,0.001802
6,690.422,1.48267,1.47315,1.34309,0.83861,0.59829,0.75109,0.39152,1.50033,1.68266,1.43938,0.0017525,0.0017525,0.0017525
7,847.454,1.47492,1.37901,1.33053,0.58097,0.53326,0.53089,0.28192,1.59369,1.88414,1.3887,0.001703,0.001703,0.001703
8,1007.48,1.45811,1.26327,1.28374,0.74334,0.49509,0.56957,0.28837,1.63868,1.80657,1.42603,0.0016535,0.0016535,0.0016535
9,1169.52,1.41612,1.23107,1.25837,0.83886,0.63248,0.72243,0.40145,1.43334,1.44372,1.24988,0.001604,0.001604,0.001604
10,1330.48,1.36921,1.10107,1.22507,0.80386,0.76068,0.83558,0.48552,1.36412,1.09946,1.25419,0.0015545,0.0015545,0.0015545
11,1493.47,1.39213,1.07939,1.24213,0.79044,0.77778,0.81487,0.4392,1.44219,1.10423,1.27788,0.001505,0.001505,0.001505
12,1655.69,1.34673,1.04303,1.21254,0.81602,0.75214,0.82823,0.49904,1.35869,1.00781,1.17886,0.0014555,0.0014555,0.0014555
13,1818.33,1.38046,1.03884,1.21013,0.83847,0.80342,0.84364,0.47254,1.39914,1.08593,1.26623,0.001406,0.001406,0.001406
14,1979.87,1.31495,0.9945,1.18942,0.87186,0.75605,0.87348,0.5188,1.27507,0.93108,1.1311,0.0013565,0.0013565,0.0013565
15,2142.64,1.28531,0.94279,1.18249,0.90991,0.84615,0.92414,0.55355,1.29425,0.80262,1.15468,0.001307,0.001307,0.001307
16,2299.76,1.34796,0.94615,1.20212,0.87114,0.82051,0.90004,0.52509,1.28185,0.87193,1.16532,0.0012575,0.0012575,0.0012575
17,2459.59,1.2731,0.89323,1.16922,0.90457,0.8547,0.92498,0.56784,1.23922,0.80548,1.14988,0.001208,0.001208,0.001208
18,2620.9,1.27342,0.92401,1.16902,0.88454,0.86325,0.92346,0.53425,1.27962,0.83585,1.16829,0.0011585,0.0011585,0.0011585
19,2774.41,1.23315,0.85782,1.14314,0.96172,0.85903,0.92134,0.56009,1.24775,0.78246,1.1448,0.001109,0.001109,0.001109
20,2934.95,1.22421,0.82509,1.15096,0.9234,0.80342,0.91969,0.56639,1.25425,0.74937,1.15761,0.0010595,0.0010595,0.0010595
21,3095.23,1.20652,0.81357,1.1414,0.92608,0.80342,0.92068,0.57737,1.20067,0.73246,1.13425,0.00101,0.00101,0.00101
22,3256.29,1.24622,0.84058,1.13187,0.85533,0.8085,0.88998,0.52113,1.33322,0.81454,1.20561,0.0009605,0.0009605,0.0009605
23,3415.7,1.19851,0.80145,1.13079,0.92965,0.90362,0.95196,0.57556,1.2396,0.72519,1.13301,0.000911,0.000911,0.000911
24,3570.54,1.16106,0.752,1.12612,0.88479,0.91899,0.95548,0.58421,1.2332,0.69988,1.14172,0.0008615,0.0008615,0.0008615
25,3725.04,1.18596,0.75726,1.12972,0.88499,0.92073,0.93845,0.58079,1.23726,0.69493,1.14905,0.000812,0.000812,0.000812
26,3884.31,1.16621,0.75019,1.11016,0.93176,0.88889,0.94192,0.58095,1.2432,0.69257,1.14306,0.0007625,0.0007625,0.0007625
27,4013.09,1.17363,0.75766,1.11606,0.90422,0.88754,0.93769,0.5883,1.19935,0.6788,1.12159,0.000713,0.000713,0.000713
28,4101.02,1.14397,0.71593,1.10797,0.90915,0.90598,0.9424,0.60997,1.16639,0.66481,1.09591,0.0006635,0.0006635,0.0006635
29,4188.53,1.1352,0.71136,1.10013,0.91915,0.87457,0.949,0.58987,1.17416,0.64348,1.12557,0.000614,0.000614,0.000614
30,4324.78,1.1151,0.71617,1.09166,0.95141,0.86325,0.92502,0.6037,1.17292,0.63746,1.12332,0.0005645,0.0005645,0.0005645
31,4473.31,1.08883,0.68495,1.0703,0.93739,0.89579,0.94359,0.6113,1.16041,0.66075,1.10584,0.000515,0.000515,0.000515
32,4607.33,1.07538,0.65344,1.07422,0.9302,0.91121,0.9457,0.62022,1.17395,0.61757,1.10215,0.0004655,0.0004655,0.0004655
33,4714.96,1.05461,0.6266,1.05819,0.9155,0.88889,0.94016,0.61546,1.18217,0.61353,1.10898,0.000416,0.000416,0.000416
34,4829.43,1.05907,0.60683,1.05212,0.95437,0.89394,0.94728,0.60321,1.19232,0.60841,1.11397,0.0003665,0.0003665,0.0003665
35,4916.3,1.05716,0.60834,1.06798,0.96439,0.88034,0.94352,0.60846,1.20632,0.59491,1.12369,0.000317,0.000317,0.000317
36,5002.12,1.03531,0.58937,1.04557,0.94154,0.90598,0.94592,0.61696,1.16203,0.58064,1.11244,0.0002675,0.0002675,0.0002675
37,5089.62,0.97989,0.58075,1.03034,0.95078,0.91453,0.94653,0.62297,1.13963,0.57273,1.09892,0.000218,0.000218,0.000218
38,5178.21,1.00358,0.59088,1.03453,0.93947,0.91453,0.94445,0.61919,1.13372,0.56608,1.10392,0.0001685,0.0001685,0.0001685
39,5267.04,0.96388,0.56036,1.03422,0.95006,0.93162,0.95361,0.61689,1.14671,0.56823,1.10199,0.000119,0.000119,0.000119
40,5353.91,0.98473,0.56539,1.03375,0.94406,0.92308,0.94312,0.61716,1.14006,0.56587,1.10247,6.95e-05,6.95e-05,6.95e-05
